,venue_name,venue_latitude,venue_longitude,locality,average_price_for_two,price_range,aggregate_rating,votes
2,Stories - The Brew Chapter,12.9057313838,77.6084116101,BTM,2000,4,4.1,3947
3,eat.fit,12.9054420000,77.6116854000,BTM,400,1,3.7,89234
4,Biryani Pot,12.9219486386,77.6165360212,BTM,500,2,4.0,43857
5,Kabab Magic,12.9162112003,77.5969149917,Jayanagar,400,1,4.0,30601
6,Gyani Da Punjabi Dhaba,12.9164585825,77.6122696325,BTM,500,2,4.0,11533
7,Three Dots & A Dash,12.9107661166,77.5993293151,JP Nagar,1500,3,4.4,2102
8,Al-Bek,12.9165945282,77.5983124226,Jayanagar,650,2,4.0,22126
0,Karama Restaurant,12.9996951102,77.6159992442,Frazer Town,750,2,4.1,15616
1,Mangalore Pearl - Seafood Restaurant,12.9945609005,77.6155466214,Frazer Town,700,2,4.4,2068
2,Manjit Da Dhaba,12.9978790000,77.6220780000,Frazer Town,300,1,4.4,1511
3,Watson's,12.9908882223,77.6193268597,"Skywalk, Ulsoor",1200,3,4.4,1523
4,Skoolroom,12.9908722142,77.6193214953,Ulsoor,700,2,4.0,1652
5,Moto Store & Café,12.9875304283,77.6208584011,Ulsoor,500,2,3.6,1595
6,Rahhams,13.0009358508,77.6131799072,Frazer Town,700,2,3.7,7299
7,Savoury Restaurant,12.9995020403,77.6159405708,Frazer Town,800,2,4.1,4207
8,Empire Restaurant,12.9999989256,77.6159677282,Frazer Town,800,2,4.1,16874
0,Empire Restaurant,12.9974292237,77.5467590243,Rajajinagar,800,2,4.1,44987
1,O.G. Variar & Sons,12.9915357310,77.5545823574,Rajajinagar,200,1,4.9,1391
2,Al-Bek,12.9779592575,77.5530813262,Rajajinagar,400,1,4.2,37485
4,eat.fit,13.0004350000,77.5495470000,Rajajinagar,400,1,3.9,49437
5,Sagar Hotel,12.9966023790,77.5542601570,Rajajinagar,500,2,4.2,3222
7,Al-Bek,12.9966830708,77.5616623834,Rajajinagar,400,1,4.1,21501
8,Hotel Nalapaka,12.9984360691,77.5523135439,Rajajinagar,400,1,4.3,1068
0,Hakuna Matata,12.8941242488,77.5866719708,JP Nagar,1450,3,4.3,3334
1,Brewsky,12.9065706219,77.5897028670,JP Nagar,1700,3,4.1,5654
2,Brahma Brews,12.8933405288,77.5864868984,JP Nagar,1900,3,4.6,4074
